ID,team_id,country,team_code,confederation_name,region_name,tournament_id,tournament_name,year,matches_played,total_goals,stage_reached,hist_avg_goals,hist_total_goals,hist_appearances,hist_avg_matches,hist_last_goals,hist_last3_avg_goals,conf_year_avg_goals,conf_avg_goals,conf_size,confederation_encoded,region_encoded,country_encoded,stage_encoded
WC-1930_ARG,T-03,Argentina,ARG,South American Football Confederation,South America,WC-1930,1930 FIFA Men's World Cup,1930,5,18,final,7.409094674460387,0,0,3.7874188255307644,7.1125,7.189583333333333,6.428571428571429,6.921348314606742,7,4,9,2,6
WC-1930_BEL,T-06,Belgium,BEL,Union of European Football Associations,Europe,WC-1930,1930 FIFA Men's World Cup,1930,2,0,group stage,6.507244366894423,0,0,3.762046133160229,6.719457013574661,6.6455505279034695,3.5,6.4903474903474905,4,5,4,5,0
WC-1930_BOL,T-07,Bolivia,BOL,South American Football Confederation,South America,WC-1930,1930 FIFA Men's World Cup,1930,2,0,group stage,7.409094674460387,0,0,3.7874188255307644,7.1125,7.189583333333333,6.428571428571429,6.921348314606742,7,4,9,6,0
WC-1930_BRA,T-09,Brazil,BRA,South American Football Confederation,South America,WC-1930,1930 FIFA Men's World Cup,1930,2,5,group stage,7.409094674460387,0,0,3.7874188255307644,7.1125,7.189583333333333,6.428571428571429,6.921348314606742,7,4,9,8,0
WC-1930_CHL,T-13,Chile,CHL,South American Football Confederation,South America,WC-1930,1930 FIFA Men's World Cup,1930,3,5,group stage,7.409094674460387,0,0,3.7874188255307644,7.1125,7.189583333333333,6.428571428571429,6.921348314606742,7,4,9,12,0
WC-1930_FRA,T-30,France,FRA,Union of European Football Associations,Europe,WC-1930,1930 FIFA Men's World Cup,1930,3,4,group stage,6.507244366894423,0,0,3.762046133160229,6.719457013574661,6.6455505279034695,3.5,6.4903474903474905,4,5,4,27,0
WC-1930_MEX,T-46,Mexico,MEX,"Confederation of North, Central American and Caribbean Association Football",North America,WC-1930,1930 FIFA Men's World Cup,1930,3,4,group stage,3.218856698856699,0,0,3.1099993260707546,3.3714285714285714,3.461904761904762,5.5,3.0869565217391304,2,2,7,43,0
WC-1930_PRY,T-55,Paraguay,PRY,South American Football Confederation,South America,WC-1930,1930 FIFA Men's World Cup,1930,2,1,group stage,7.409094674460387,0,0,3.7874188255307644,7.1125,7.189583333333333,6.428571428571429,6.921348314606742,7,4,9,52,0
WC-1930_PER,T-56,Peru,PER,South American Football Confederation,South America,WC-1930,1930 FIFA Men's World Cup,1930,2,1,group stage,7.409094674460387,0,0,3.7874188255307644,7.1125,7.189583333333333,6.428571428571429,6.921348314606742,7,4,9,53,0
WC-1930_ROU,T-61,Romania,ROU,Union of European Football Associations,Europe,WC-1930,1930 FIFA Men's World Cup,1930,2,3,group stage,6.507244366894423,0,0,3.762046133160229,6.719457013574661,6.6455505279034695,3.5,6.4903474903474905,4,5,4,58,0
WC-1930_USA,T-83,United States,USA,"Confederation of North, Central American and Caribbean Association Football",North America,WC-1930,1930 FIFA Men's World Cup,1930,3,7,semi-finals,3.218856698856699,0,0,3.1099993260707546,3.3714285714285714,3.461904761904762,5.5,3.0869565217391304,2,2,7,79,4
WC-1930_URY,T-84,Uruguay,URY,South American Football Confederation,South America,WC-1930,1930 FIFA Men's World Cup,1930,4,15,final,7.409094674460387,0,0,3.7874188255307644,7.1125,7.189583333333333,6.428571428571429,6.921348314606742,7,4,9,80,6
WC-1930_YUG,T-87,Yugoslavia,YUG,Union of European Football Associations,Europe,WC-1930,1930 FIFA Men's World Cup,1930,3,7,semi-finals,6.507244366894423,0,0,3.762046133160229,6.719457013574661,6.6455505279034695,3.5,6.4903474903474905,4,5,4,82,4
